# nu(cm-1)        I       SG
      1314  0.62988  0.62846
      1315  0.63289  0.62850
      1316  0.63371  0.62845
      1317  0.63060  0.62833
      1318  0.62816  0.62818
      1319  0.62913  0.62796
      1320  0.63171  0.62771
      1321  0.63141  0.62756
      1322  0.62981  0.62761
      1323  0.62869  0.62756
      1324  0.62477  0.62749
      1325  0.62289  0.62761
      1326  0.62562  0.62773
      1327  0.62858  0.62776
      1328  0.62567  0.62771
      1329  0.62225  0.62755
      1330  0.62467  0.62738
      1331  0.62380  0.62718
      1332  0.62295  0.62693
      1333  0.62509  0.62669
      1334  0.62506  0.62651
      1335  0.62798  0.62647
      1336  0.63252  0.62651
      1337  0.63195  0.62657
      1338  0.62911  0.62655
      1339  0.62639  0.62643
      1340  0.62433  0.62651
      1341  0.62296  0.62667
      1342  0.62473  0.62666
      1343  0.62767  0.62659
      1344  0.62689  0.62652
      1345  0.62774  0.62643
      1346  0.62840  0.62635
      1347  0.62516  0.62635
      1348  0.62421  0.62633
      1349  0.62553  0.62623
      1350  0.62671  0.62626
      1351  0.62684  0.62638
      1352  0.62554  0.62646
      1353  0.62656  0.62644
      1354  0.63234  0.62640
      1355  0.63329  0.62637
      1356  0.62681  0.62638
      1357  0.62068  0.62651
      1358  0.62639  0.62670
      1359  0.62781  0.62680
      1360  0.62094  0.62669
      1361  0.61989  0.62654
      1362  0.62202  0.62656
      1363  0.62481  0.62669
      1364  0.62728  0.62670
      1365  0.62716  0.62657
      1366  0.62862  0.62640
      1367  0.63204  0.62612
      1368  0.63157  0.62590
      1369  0.62999  0.62583
      1370  0.62830  0.62576
      1371  0.62546  0.62576
      1372  0.62368  0.62579
      1373  0.62755  0.62573
      1374  0.63206  0.62568
      1375  0.62316  0.62560
      1376  0.61906  0.62543
      1377  0.62460  0.62519
      1378  0.62638  0.62510
      1379  0.62458  0.62506
      1380  0.62467  0.62489
      1381  0.62703  0.62491
      1382  0.62332  0.62500
      1383  0.62281  0.62493
      1384  0.62622  0.62488
      1385  0.62274  0.62482
      1386  0.62138  0.62473
      1387  0.62452  0.62472
      1388  0.62703  0.62481
      1389  0.62597  0.62481
      1390  0.62660  0.62478
      1391  0.62836  0.62491
      1392  0.62274  0.62493
      1393  0.61826  0.62478
      1394  0.62093  0.62469
      1395  0.62721  0.62452
      1396  0.62661  0.62429
      1397  0.62121  0.62425
      1398  0.61810  0.62422
      1399  0.61979  0.62405
      1400  0.62255  0.62384
      1401  0.62605  0.62377
      1402  0.63088  0.62376
      1403  0.62743  0.62371
      1404  0.62171  0.62356
      1405  0.62131  0.62347
      1406  0.62025  0.62344
