# nu(cm-1)        I      fit    const
      1106  1.25660  1.25310  1.00000
      1107  1.25559  1.25300  1.00000
      1108  1.25467  1.25290  1.00000
      1109  1.25550  1.25286  1.00000
      1110  1.25555  1.25262  1.00000
      1111  1.25406  1.25255  1.00000
      1112  1.25273  1.25264  1.00000
      1113  1.25420  1.25240  1.00000
      1114  1.25485  1.25225  1.00000
      1115  1.25353  1.25228  1.00000
      1116  1.25353  1.25224  1.00000
      1117  1.25209  1.25209  1.00000
      1118  1.25063  1.25195  1.00000
      1119  1.25256  1.25193  1.00000
      1120  1.25312  1.25188  1.00000
      1121  1.25135  1.25180  1.00000
      1122  1.25002  1.25169  1.00000
      1123  1.25192  1.25155  1.00000
      1124  1.25339  1.25152  1.00000
      1125  1.25265  1.25151  1.00000
      1126  1.25307  1.25134  1.00000
      1127  1.25293  1.25120  1.00000
      1128  1.25165  1.25112  1.00000
      1129  1.25082  1.25104  1.00000
      1130  1.25051  1.25094  1.00000
      1131  1.25101  1.25074  1.00000
      1132  1.25203  1.25053  1.00000
      1133  1.25155  1.25062  1.00000
      1134  1.25064  1.25067  1.00000
      1135  1.25018  1.25040  1.00000
      1136  1.24908  1.24993  1.00000
      1137  1.24894  1.24988  1.00000
      1138  1.25020  1.24998  1.00000
      1139  1.25138  1.24973  1.00000
      1140  1.25165  1.24961  1.00000
      1141  1.25115  1.24956  1.00000
      1142  1.25060  1.24936  1.00000
      1143  1.25052  1.24914  1.00000
      1144  1.25058  1.24910  1.00000
      1145  1.25041  1.24910  1.00000
      1146  1.25036  1.24880  1.00000
      1147  1.25098  1.24855  1.00000
      1148  1.25081  1.24847  1.00000
      1149  1.24820  1.24844  1.00000
      1150  1.24836  1.24853  1.00000
      1151  1.25008  1.24858  1.00000
      1152  1.24960  1.24844  1.00000
      1153  1.25069  1.24824  1.00000
      1154  1.24994  1.24818  1.00000
      1155  1.24644  1.24821  1.00000
      1156  1.24823  1.24809  1.00000
      1157  1.24977  1.24807  1.00000
      1158  1.24798  1.24808  1.00000
      1159  1.24749  1.24797  1.00000
      1160  1.24877  1.24793  1.00000
      1161  1.24836  1.24781  1.00000
      1162  1.24478  1.24755  1.00000
      1163  1.24600  1.24745  1.00000
      1164  1.24900  1.24739  1.00000
      1165  1.24864  1.24731  1.00000
      1166  1.24774  1.24730  1.00000
      1167  1.24792  1.24714  1.00000
      1168  1.24856  1.24699  1.00000
      1169  1.24836  1.24712  1.00000
      1170  1.24999  1.24716  1.00000
      1171  1.25161  1.24696  1.00000
      1172  1.24974  1.24672  1.00000
      1173  1.24805  1.24674  1.00000
      1174  1.24723  1.24679  1.00000
      1175  1.24725  1.24683  1.00000
      1176  1.24984  1.24705  1.00000
      1177  1.25090  1.24704  1.00000
      1178  1.24753  1.24689  1.00000
      1179  1.24256  1.24699  1.00000
      1180  1.24404  1.24715  1.00000
      1181  1.24918  1.24722  1.00000
      1182  1.24956  1.24718  1.00000
      1183  1.24816  1.24699  1.00000
      1184  1.24735  1.24680  1.00000
      1185  1.24758  1.24672  1.00000
      1186  1.24807  1.24680  1.00000
      1187  1.24611  1.24684  1.00000
